slug;name_en;name_ru
dumbbell-single-arm-floor-fly;Dumbbell Single Arm Floor Fly;Одной рукой разведение рук лёжа на полу с гантелью
dumbbell-single-arm-front-rack-step-up;Dumbbell Single Arm Front Rack Step Up;Одной рукой вперёд на стойке подъём на платформу с гантелью
dumbbell-single-arm-front-rack-step-up-knee-drive;Dumbbell Single Arm Front Rack Step Up Knee Drive;Одной рукой вперёд на стойке подъём на платформу с подъёмом колена с гантелью
dumbbell-single-arm-hammer-curl;Dumbbell Single Arm Hammer Curl;Одной рукой молотковое сгибание рук с гантелью
dumbbell-single-arm-hang-clean-and-press;Dumbbell Single Arm Hang Clean And Press;Одной рукой взятие на грудь с виса и жим с гантелью
dumbbell-single-arm-high-incline-chest-press;Dumbbell Single Arm High Incline Chest Press;Одной рукой верхний на наклонной скамье жим от груди с гантелью
dumbbell-single-arm-incline-chest-press;Dumbbell Single Arm Incline Chest Press;Одной рукой на наклонной скамье жим от груди с гантелью
dumbbell-single-arm-incline-curl;Dumbbell Single Arm Incline Curl;Одной рукой на наклонной скамье сгибание рук с гантелью
dumbbell-single-arm-incline-hammer-curl;Dumbbell Single Arm Incline Hammer Curl;Одной рукой на наклонной скамье молотковое сгибание рук с гантелью
dumbbell-single-arm-incline-reverse-curl;Dumbbell Single Arm Incline Reverse Curl;Одной рукой на наклонной скамье обратное сгибание рук с гантелью
dumbbell-single-arm-incline-skullcrusher;Dumbbell Single Arm Incline Skullcrusher;Одной рукой на наклонной скамье французский жим лёжа с гантелью
dumbbell-single-arm-incline-twisting-curl;Dumbbell Single Arm Incline Twisting Curl;Одной рукой на наклонной скамье сгибание рук с поворотом с гантелью
dumbbell-single-arm-larsen-press;Dumbbell Single Arm Larsen Press;Одной рукой Ларсена жим с гантелью
dumbbell-single-arm-neutral-overhead-press;Dumbbell Single Arm Neutral Overhead Press;Одной рукой нейтральным хватом жим над головой с гантелью
dumbbell-single-arm-overhead-press;Dumbbell Single Arm Overhead Press;Одной рукой жим над головой с гантелью
dumbbell-single-arm-overhead-tricep-extension;Dumbbell Single Arm Overhead Tricep Extension;Одной рукой разгибание рук на трицепс над головой с гантелью
dumbbell-single-arm-pendlay-row;Dumbbell Single Arm Pendlay Row;Одной рукой тяга Пендлея с гантелью
dumbbell-single-arm-preacher-curl;Dumbbell Single Arm Preacher Curl;Одной рукой сгибание рук на скамье Скотта с гантелью
dumbbell-single-arm-press;Dumbbell Single Arm Press;Одной рукой жим с гантелью
dumbbell-single-arm-pullover;Dumbbell Single Arm Pullover;Одной рукой пуловер с гантелью
dumbbell-single-arm-push-press;Dumbbell Single Arm Push Press;Одной рукой толчковый жим с гантелью
dumbbell-single-arm-rear-delt-row;Dumbbell Single Arm Rear Delt Row;Одной рукой тяга на заднюю дельту с гантелью
dumbbell-single-arm-row;Dumbbell Single Arm Row;Одной рукой тяга с гантелью
dumbbell-single-arm-row-knee;Dumbbell Single Arm Row Knee;Одной рукой тяга колена с гантелью
dumbbell-single-arm-seated-hammer-curl;Dumbbell Single Arm Seated Hammer Curl;Одной рукой сидя молотковое сгибание рук с гантелью
dumbbell-single-arm-seated-overhead-tricep-extension;Dumbbell Single Arm Seated Overhead Tricep Extension;Одной рукой сидя разгибание рук на трицепс над головой с гантелью
dumbbell-single-arm-shoulder-extension;Dumbbell Single Arm Shoulder Extension;Одной рукой разгибание плеча с гантелью
dumbbell-single-arm-skullcrusher;Dumbbell Single Arm Skullcrusher;Одной рукой французский жим лёжа с гантелью
dumbbell-single-arm-spider-curl;Dumbbell Single Arm Spider Curl;Одной рукой сгибание рук на наклонной скамье лицом вниз с гантелью
dumbbell-single-arm-step-up;Dumbbell Single Arm Step Up;Одной рукой подъём на платформу с гантелью
dumbbell-single-arm-step-up-knee-drive;Dumbbell Single Arm Step Up Knee Drive;Одной рукой подъём на платформу с подъёмом колена с гантелью
dumbbell-single-arm-thruster;Dumbbell Single Arm Thruster;Одной рукой трастер с гантелью
dumbbell-single-arm-tricep-guilotine-press;Dumbbell Single Arm Tricep Guilotine Press;Одной рукой на трицепс гильотина жим с гантелью
dumbbell-single-arm-upright-row;Dumbbell Single Arm Upright Row;Одной рукой тяга к подбородку с гантелью
dumbbell-single-leg-calf-raise;Dumbbell Single Leg Calf Raise;Одной ноги подъём на носки с гантелями
dumbbell-single-leg-glute-bridge;Dumbbell Single Leg Glute Bridge;Одной ноги ягодичный мост с гантелями
dumbbell-single-leg-heels-elevated-hip-thrust;Dumbbell Single Leg Heels Elevated Hip Thrust;Одной ноги пяток на возвышении ягодичный мост с опорой плечами с гантелями
dumbbell-single-leg-hip-thrust;Dumbbell Single Leg Hip Thrust;Одной ноги ягодичный мост с опорой плечами с гантелями
dumbbell-single-leg-single-arm-deadlift;Dumbbell Single Leg Single Arm Deadlift;Одной ноги одной рукой становая тяга с гантелью
dumbbell-single-leg-stiff-leg-deadlift;Dumbbell Single Leg Stiff Leg Deadlift;Одной ноги становая тяга на прямых ногах с гантелями
dumbbell-situp;Dumbbell Situp;Подъём туловища с гантелями
dumbbell-six-way-lateral-raise;Dumbbell Six Way Lateral Raise;В шести направлениях подъём рук в стороны с гантелями
dumbbell-skullcrusher;Dumbbell Skullcrusher;Французский жим лёжа с гантелями
dumbbell-somersault-squat;Dumbbell Somersault Squat;Приседание с наклоном кувырком с гантелями
dumbbell-spider-curl;Dumbbell Spider Curl;Сгибание рук на наклонной скамье лицом вниз с гантелями
dumbbell-spinal-jefferson-curl;Dumbbell Spinal Jefferson Curl;Сгибание позвоночника Джефферсона с гантелями
dumbbell-split-squat;Dumbbell Split Squat;Сплит-присед с гантелями
dumbbell-squeeze-press;Dumbbell Squeeze Press;Сведение жим с гантелями
dumbbell-stability-ball-wall-squat;Dumbbell Stability Ball Wall Squat;На фитболе приседание у стены с гантелями
dumbbell-staggered-deadlift;Dumbbell Staggered Deadlift;Со смещённой стойкой становая тяга с гантелями
dumbbell-staggered-glute-bridge;Dumbbell Staggered Glute Bridge;Со смещённой стойкой ягодичный мост с гантелями
dumbbell-staggered-hip-thrust;Dumbbell Staggered Hip thrust;Со смещённой стойкой ягодичный мост с опорой плечами с гантелями
dumbbell-staggered-waiters-bow;Dumbbell Staggered Waiters Bow;Со смещённой стойкой поклон официанта с гантелями
dumbbell-standing-bayesian-lateral-raise;Dumbbell Standing Bayesian Lateral Raise;Стоя по Байесу подъём рук в стороны с гантелями
dumbbell-standing-hip-abduction;Dumbbell Standing Hip Abduction;Стоя отведение бедра с гантелями
dumbbell-standing-single-arm-curl;Dumbbell Standing Single Arm Curl;Стоя одной рукой сгибание рук с гантелью
dumbbell-standing-single-arm-hammer-curl;Dumbbell Standing Single Arm Hammer Curl;Стоя одной рукой молотковое сгибание рук с гантелью
dumbbell-standing-single-arm-reverse-curl;Dumbbell Standing Single Arm Reverse Curl;Стоя одной рукой обратное сгибание рук с гантелью
dumbbell-standing-single-arm-twisting-curl;Dumbbell Standing Single Arm Twisting Curl;Стоя одной рукой сгибание рук с поворотом с гантелью
dumbbell-standing-tibialis-raise;Dumbbell Standing Tibialis Raise;Стоя подъём носков с гантелями
dumbbell-step-up;Dumbbell Step Up;Подъём на платформу с гантелями
dumbbell-step-up-knee-drive;Dumbbell Step Up Knee Drive;Подъём на платформу с подъёмом колена с гантелями
dumbbell-suitcase-crunch;Dumbbell Suitcase Crunch;Чемодан скручивание с гантелями
dumbbell-sumo-squat;Dumbbell Sumo Squat;Приседание сумо с гантелями
dumbbell-superman;Dumbbell Superman;Супермен с гантелями
dumbbell-superman-hold;Dumbbell Superman Hold;Супермен удержание с гантелями
dumbbell-supinated-row;Dumbbell Supinated Row;Супинированным хватом тяга с гантелями
dumbbell-swing;Dumbbell Swing;Мах с гантелями
dumbbell-swing-lunge;Dumbbell Swing Lunge;Выпад с махом с гантелями
dumbbell-tate-press;Dumbbell Tate Press;Жим Тейта с гантелями
dumbbell-thruster;Dumbbell Thruster;Трастер с гантелями
dumbbell-tricep-guillotine-press;Dumbbell Tricep Guillotine Press;На трицепс «гильотина» жим с гантелями
dumbbell-tricep-kickback;Dumbbell Tricep Kickback;Отведение руки назад на трицепс с гантелями
dumbbell-twisting-curl;Dumbbell Twisting Curl;Сгибание рук с поворотом с гантелями
dumbbell-upright-row;Dumbbell Upright Row;Тяга к подбородку с гантелями
dumbbell-waiters-bow;Dumbbell Waiters Bow;Поклон официанта с гантелями
dumbbell-weighted-chin-ups;Dumbbell Weighted Chin Ups;С отягощением подтягивания обратным хватом с гантелями
dumbbell-weighted-dip;Dumbbell Weighted Dip;С отягощением отжимание на брусьях с гантелями
dumbbell-weighted-pull-ups;Dumbbell Weighted Pull Ups;С отягощением подтягивания с гантелями
dumbbell-wood-chopper;Dumbbell Wood Chopper;Дровосек с гантелями
dumbbell-wrist-curl;Dumbbell Wrist Curl;Сгибание запястий с гантелями
dumbbell-wrist-extension;Dumbbell Wrist Extension;Разгибание запястий с гантелями
dumbbell-wrist-supinations-pronations;Dumbbell Wrist Supinations Pronations;Запястья супинации и пронации с гантелями
dumbbell-y-press;Dumbbell Y Press;Y-жим с гантелями
dumbbell-zottman-curl;Dumbbell Zottman Curl;Сгибание Зоттмана с гантелями
eagle-arms-chin-into-chest;Eagle Arms Chin Into Chest;Поза орла руками, подбородок к груди
easy-pose-neck-stretch;Easy Pose Neck Stretch;Растяжка шеи в простой позе
eccentric-dragonflag;Eccentric Dragonflag;Эксцентрический драконий флаг
elbow-extensor-isometric-seated-overhead-dumbbell;Elbow Extensor Isometric Seated Overhead Dumbbell;Локтя разгибатель изометрический сидя над головой гантель
elbow-extensor-mobilisation-kneeling-lacrosse-ball;Elbow Extensor Mobilisation Kneeling Lacrosse Ball;Локтя разгибатель мобилизация на коленях лакросс мяч
elbow-plank-mountain-climber;Elbow Plank Mountain Climber;Планка на локтях альпинист
elbow-side-plank;Elbow Side Plank;Локтя боковая планка
elevated-pike-press;Elevated Pike Press;На возвышении пайк-жим
elevated-pike-shoulder-shrug;Elevated Pike Shoulder Shrug;На возвышении пайк плеча шраги
elliptical;Elliptical;Эллиптический тренажёр
eversions;Eversions;Эверсии стопы
extended-side-angle-pose;extended-side-angle-pose;Вытянутыми боковой угол поза
extended-side-angle-pose-with-block;Extended side Angle Pose With Block;Вытянутыми боковой угол поза с блоками
ez-bar-close-grip-curl;Ez Bar Close Grip Curl;Узкий хват сгибание рук с EZ-грифом
ez-bar-cuban-press;Ez Bar Cuban Press;Кубинский жим с EZ-грифом
ez-bar-curl;Ez Bar Curl;Сгибание рук с EZ-грифом
ez-bar-drag-curl;Ez Bar Drag Curl;Сгибание рук вдоль тела с EZ-грифом
ez-bar-front-raise;Ez Bar Front Raise;Подъём рук перед собой с EZ-грифом
ez-bar-overhead-press;Ez Bar Overhead Press;Жим над головой с EZ-грифом
ez-bar-overhead-tricep-extension;Ez Bar Overhead Tricep Extension;Разгибание рук на трицепс над головой с EZ-грифом
ez-bar-preacher-curl;EZ Bar Preacher Curl;Сгибание рук на скамье Скотта с EZ-грифом
ez-bar-reverse-curl;Ez Bar Reverse Curl;Обратное сгибание рук с EZ-грифом
ez-bar-reverse-preacher-curl;EZ Bar Reverse Preacher Curl;Обратный сгибание рук на скамье Скотта с EZ-грифом
ez-bar-reverse-spider-curl;Ez Bar Reverse Spider Curl;Обратный сгибание рук на наклонной скамье лицом вниз с EZ-грифом
ez-bar-romanian-deadlift;Ez Bar Romanian Deadlift;Румынская становая тяга с EZ-грифом
ez-bar-shrug;Ez Bar Shrug;Шраги с EZ-грифом
ez-bar-spider-curl;Ez Bar Spider Curl;Сгибание рук на наклонной скамье лицом вниз с EZ-грифом
ez-bar-upright-row;Ez Bar Upright Row;Тяга к подбородку с EZ-грифом
ez-bar-zercher-squat;Ez Bar Zercher Squat;Зерхера приседание с EZ-грифом
femoral-nerve-mobilisation;Femoral Nerve Mobilisation;Мобилизация бедренного нерва
floor-incline-leg-raise;Floor Incline Leg Raise;На полу на наклонной скамье подъём ног
floor-knee-pull-bilateral;Floor Knee Pull Bilateral;На полу подтягивание колена двусторонний
foam-roller-quad-mobilisation;Foam Roller Quad Mobilisation;Квадрицепса мобилизация с массажным роликом
forearm-plank;Forearm Plank;Планка на предплечьях
forearms-stretch-variation-four;Forearms Stretch Variation Four;Растяжка предплечий, вариант 4
forearms-stretch-variation-one;Forearms Stretch Variation One;Растяжка предплечий, вариант 1
forearms-stretch-variation-three;Forearms Stretch Variation Three;Растяжка предплечий, вариант 3
forearms-stretch-variation-two;Forearms Stretch Variation Two;Растяжка предплечий, вариант 2
forward-arm-circle;Forward Arm Circle;Круговые вращения руками вперёд
forward-lunge;Forward Lunge;Выпад вперёд
forward-lunges;Forward Lunges;Вперёд выпады
frog-crunch;Frog Crunch;Скручивание «лягушка»
frog-sit-up;Frog Sit Up;Подъём туловища «лягушка»
gastrocnemius-stretch-bilateral-on-box;Gastrocnemius Stretch Bilateral On Box;Растяжка икроножной мышцы двусторонний на на коробке
gastrocnemius-stretch-push-up-position;Gastrocnemius Stretch Push Up Position;Растяжка икроножной мышцы отжимание положение
gastrocnemius-stretch-unilateral-on-box;Gastrocnemius Stretch Unilateral On Box;Растяжка икроножной мышцы односторонний на на коробке
gastrocnemius-stretch-unilateral-on-wall;Gastrocnemius Stretch Unilateral On Wall;Растяжка икроножной мышцы односторонний на у стены
gate-pose-rounding-spine-looking-up;Gate Pose Rounding Spine Looking Up;Ворот поза округление позвоночника взгляд вверх
gate-pose-variation-arm-extended-on-side;Gate Pose Variation Arm Extended on Side;Ворот поза вариант рукой вытянутыми на боковой
gironda-chin-up;Gironda Chin Up;Жиронды подтягивание обратным хватом
glute-bridge;Glute Bridge;Ягодичный мост
glute-bridge-eccentric-unilateral;Glute Bridge Eccentric Unilateral;Ягодичный мост эксцентрический односторонний
glute-bridge-isometric-hold-single-alternate;Glute Bridge Isometric Hold Single Alternate;Ягодичный мост изометрический удержание одной поочерёдный
glute-ham-raise;Glute Ham Raise;Ягодичных мышц задняя поверхность бедра подъём
glute-hip-rotator-stretch-1-seated;Glute Hip Rotator Stretch 1 Seated;Ягодичных мышц тазобедренных суставов ротаторов растяжка 1 сидя
glute-hip-rotator-stretch-2-seated;Glute Hip Rotator Stretch 2 Seated;Ягодичных мышц тазобедренных суставов ротаторов растяжка 2 сидя
glute-hip-rotator-stretch-3-seated;Glute Hip Rotator Stretch 3 Seated;Ягодичных мышц тазобедренных суставов ротаторов растяжка 3 сидя
glute-hip-rotator-stretch-supine;Glute Hip Rotator Stretch Supine;Ягодичных мышц тазобедренных суставов ротаторов растяжка лёжа лицом вверх
glute-piriformis-mobilisation-1-floor-seated-lacrosse-ball;Glute Piriformis Mobilisation 1 Floor Seated Lacrosse Ball;Ягодичных мышц грушевидной мышцы мобилизация 1 на полу сидя лакросс мяч
glute-stretch-knee-pull-dynamic-standing;Glute Stretch Knee Pull Dynamic Standing;Ягодичных мышц растяжка подтягивание колена динамическая стоя
glute-stretch-static-unilateral;Glute Stretch Static Unilateral;Ягодичных мышц растяжка статическая односторонний
gluteator;Gluteator;Глютеатор
glutes-stretch-variation-one;Glutes Stretch Variation One;Растяжка ягодичных мышц, вариант 1
glutes-stretch-variation-three;Glutes Stretch Variation Three;Растяжка ягодичных мышц, вариант 3
glutes-stretch-variation-two;Glutes Stretch Variation Two;Растяжка ягодичных мышц, вариант 2
good-mornings;Good Mornings;Наклоны «доброе утро»
half-kneeling-hip-hinge;Half Kneeling Hip Hinge;На одном колене наклон с прямой спиной
half-lotus;Half Lotus;Полулотос
half-monkey-pose;Half Monkey Pose;Поза полушпагата
half-neck-rolls;Half Neck Rolls;На одном шеи круговые движения
hamstring-bridge-isometric-open-angle;Hamstring Bridge Isometric Open Angle;Задней поверхности бедра мост изометрический открытый угол
hamstring-bridge-with-elevated-legs-box-bilateral;Hamstring Bridge With Elevated Legs Box Bilateral;Задней поверхности бедра мост с возвышении ног на коробке двусторонний
hamstring-bridge-with-elevated-legs-box-unilateral;Hamstring Bridge With Elevated Legs Box Unilateral;Задней поверхности бедра мост с возвышении ног на коробке односторонний
hamstring-mobilisation-seated-lacrosse-ball;Hamstring Mobilisation Seated Lacrosse Ball;Задней поверхности бедра мобилизация сидя лакросс мяч
hamstring-stretch-dynamic-standing-bilateral;Hamstring Stretch Dynamic Standing Bilateral;Растяжка задней поверхности бедра динамическая стоя двусторонний
hamstring-stretch-dynamic-supine-alternating;Hamstring Stretch Dynamic Supine Alternating;Растяжка задней поверхности бедра динамическая лёжа лицом вверх поочерёдный
hamstring-stretch-seated-single-leg;Hamstring Stretch Seated Single Leg;Растяжка задней поверхности бедра сидя одной ноги
hamstring-stretch-seated-single-leg-isometric;Hamstring Stretch Seated Single Leg Isometric;Растяжка задней поверхности бедра сидя одной ноги изометрический
hamstring-stretch-static-standing-single-leg;Hamstring Stretch Static Standing Single Leg;Растяжка задней поверхности бедра статическая стоя одной ноги
hamstring-stretch-supine-dynamic-band;Hamstring Stretch Supine Dynamic Band;Растяжка задней поверхности бедра лёжа лицом вверх динамическая с резиновой лентой
hamstring-stretch-supine-glide;Hamstring Stretch Supine Glide;Растяжка задней поверхности бедра лёжа лицом вверх скольжение
hamstring-stretch-supine-static;Hamstring Stretch Supine Static;Растяжка задней поверхности бедра лёжа лицом вверх статическая
hamstrings-stretch-variation-four;Hamstrings Stretch Variation Four;Растяжка задней поверхности бедра, вариант 4
hamstrings-stretch-variation-one;Hamstrings Stretch Variation One;Растяжка задней поверхности бедра, вариант 1
hamstrings-stretch-variation-three;Hamstrings Stretch Variation Three;Растяжка задней поверхности бедра, вариант 3
hamstrings-stretch-variation-two;Hamstrings Stretch Variation Two;Растяжка задней поверхности бедра, вариант 2
hand-plank;Hand Plank;Планка на руках
hand-side-plank;Hand Side Plank;На руках боковая планка
hand-side-plank-reach-through;Hand Side Plank Reach Through;На руках боковая планка протягивание руки
hanging-knee-raises;Hanging Knee Raises;В висе колена подъёмы
hanging-l-sit;Hanging L Sit;В висе L-сид
happy-baby;Happy Baby;Поза счастливого ребёнка
headstand;Headstand;Стойка на голове
heels-up-squat;Heels Up Squat;Пяток вверх приседание
hip-extension-4pt-position-hold;Hip Extension 4Pt Position Hold;Разгибание бедра в упоре на четвереньках удержание
hip-extension-external-rotation-4pt-position;Hip Extension External Rotation 4Pt Position;Разгибание бедра внешняя ротация в упоре на четвереньках
hip-extension-external-rotation-pulses-4pt-position;Hip Extension External Rotation Pulses 4Pt Position;Разгибание бедра внешняя ротация пульсации в упоре на четвереньках
hip-extension-into-side-flexion;Hip Extension Into Side Flexion;Разгибание бедра с переходом в боковой сгибание
hip-flexor-stretch-kneeling-lunge-1;Hip Flexor Stretch Kneeling Lunge 1;Растяжка сгибателей бедра на коленях выпад 1
hip-flexor-stretch-kneeling-lunge-2;Hip Flexor Stretch Kneeling Lunge 2;Растяжка сгибателей бедра на коленях выпад 2
hip-flexor-stretch-kneeling-lunge-3;Hip Flexor Stretch Kneeling Lunge 3;Растяжка сгибателей бедра на коленях выпад 3
hip-openers;Hip Openers;Раскрытие тазобедренных суставов
hollow-hold;Hollow Hold;Удержание «банан»
horizontal-hack-squat;Horizontal Hack Squat;Горизонтальный гакк-приседание
i-into-w;I Into W;Переход из I в W
in-and-out-jump-squat;In And Out Jump Squat;Приседание с прыжком внутрь-наружу
inchworm;Inchworm;Гусеница
incline-push-up;Incline Push Up;На наклонной скамье отжимание
infinity-loop-standing-hip-mobility;Infinity Loop Standing Hip Mobility;Бесконечная петля стоя тазобедренных суставов мобилизация
internally-rotated-seated-rear-delt-fly;Internally Rotated Seated Rear Delt Fly;С внутренней ротацией сидя разведение рук на заднюю дельту
inverted-row;Inverted Row;Австралийские подтягивания
is-prone;I's Prone;Лёжа лицом вниз
jump-into-single-leg-landing;Jump Into Single Leg Landing;Прыжок с переходом в одной ноги приземление
jump-off-box-single-leg-landing;Jump Off Box Single Leg Landing;Прыжок с коробке одной ноги приземление
jump-on-and-off-box;Jump On And Off Box;Прыжок на коробку и с коробки
jump-rope;Jump Rope;Прыжки со скакалкой
jump-squats;Jump Squats;Приседания с прыжком
jumping-mountain-climber;Jumping Mountain Climber;Альпинист с прыжком
kettlebell-alternating-curtsy-lunge;Kettlebell Alternating Curtsy Lunge;Поочерёдный выпад-реверанс с гирей
kettlebell-alternating-forward-lunge;Kettlebell Alternating Forward Lunge;Поочерёдный выпад вперёд с гирей
kettlebell-alternating-lateral-lunge;Kettlebell Alternating Lateral Lunge;Поочерёдный боковой выпад с гирей
kettlebell-alternating-reverse-lunge;Kettlebell Alternating Reverse Lunge;Поочерёдный обратный выпад с гирей
kettlebell-alternating-row;Kettlebell Alternating Row;Поочерёдный тяга с гирей
kettlebell-alternating-single-arm-thruster;Kettlebell Alternating Single Arm Thruster;Поочерёдный одной рукой трастер с гирей
kettlebell-alternating-swing;Kettlebell Alternating Swing;Поочерёдный мах с гирей
kettlebell-assisted-bulgarian-split-squat;Kettlebell Assisted Bulgarian Split Squat;Болгарский сплит-присед с поддержкой с гирей
kettlebell-bench-press;Kettlebell Bench Press;Жим лёжа с гирей
kettlebell-bench-wrist-curl;Kettlebell Bench Wrist Curl;На скамье сгибание запястий с гирей
kettlebell-bench-wrist-extension;Kettlebell Bench Wrist Extension;На скамье разгибание запястий с гирей
kettlebell-bottoms-up-overhead-press;Kettlebell Bottoms Up Overhead Press;Дном вверх жим над головой с гирей
kettlebell-bottoms-up-single-arm-overhead-press;Kettlebell Bottoms Up Single Arm Overhead Press;Дном вверх одной рукой жим над головой с гирей
kettlebell-box-squat;Kettlebell Box Squat;Приседание на бокс с гирей
kettlebell-calf-raise;Kettlebell Calf Raise;Подъём на носки с гирей
kettlebell-chest-press-single;Kettlebell Chest Press (Single);Жим от груди одной с гирей
kettlebell-clean-and-jerk;Kettlebell Clean And Jerk;Взятие на грудь и толчок с гирей
kettlebell-clean-and-press;Kettlebell Clean And Press;Взятие на грудь и жим с гирей
kettlebell-concentration-curl;Kettlebell Concentration Curl;Концентрированное сгибание рук с гирей
kettlebell-conventional-deadlift-double;Kettlebell Conventional Deadlift (Double);Классическая становая тяга двойной с гирями
kettlebell-curl;Kettlebell Curl;Сгибание рук с гирей
kettlebell-deadlift-single;Kettlebell Deadlift (Single);Становая тяга одной с гирей
kettlebell-decline-skull-crusher;Kettlebell Decline Skull Crusher;На скамье с отрицательным наклоном французский жим лёжа с гирей
kettlebell-deficit-reverse-lunge;Kettlebell Deficit Reverse Lunge;С дефицитом обратный выпад с гирей
kettlebell-drag-curl;Kettlebell Drag Curl;Сгибание рук вдоль тела с гирей
kettlebell-farmers-carry;Kettlebell Farmers Carry;Прогулка фермера с гирей
kettlebell-farmers-march;Kettlebell Farmers March;Марш фермера с гирей
kettlebell-figure-four-hip-thrust;Kettlebell Figure Four Hip Thrust;Ягодичный мост с опорой плечами в положении «четвёрка» с гирей
kettlebell-floor-fly;Kettlebell Floor Fly;Разведение рук лёжа на полу с гирей
kettlebell-floor-press;Kettlebell Floor Press;Жим с пола с гирей
kettlebell-forward-lunge-double;Kettlebell Forward Lunge (Double);Выпад вперёд двойной с гирями
kettlebell-front-rack-curtsy-lunge-double;Kettlebell Front Rack Curtsy Lunge (Double);Вперёд на стойке выпад-реверанс двойной с гирями
kettlebell-front-rack-deficit-reverse-lunge;Kettlebell Front Rack Deficit Reverse Lunge;Вперёд на стойке с дефицитом обратный выпад с гирей
kettlebell-front-rack-forward-lunge-double;Kettlebell Front Rack Forward Lunge (Double);Вперёд на стойке выпад вперёд двойной с гирями
kettlebell-front-rack-lateral-lunge-double;Kettlebell Front Rack Lateral Lunge (Double);Вперёд на стойке боковой выпад двойной с гирями
kettlebell-front-rack-reverse-lunge-double;Kettlebell Front Rack Reverse Lunge (Double);Вперёд на стойке обратный выпад двойной с гирями
kettlebell-front-rack-single-arm-lateral-lunge;Kettlebell Front Rack Single Arm Lateral Lunge;Вперёд на стойке одной рукой боковой выпад с гирей
kettlebell-front-rack-squat;Kettlebell Front Rack Squat;Вперёд на стойке приседание с гирей
kettlebell-front-rack-step-up;Kettlebell Front Rack Step Up;Вперёд на стойке подъём на платформу с гирей
kettlebell-front-rack-step-up-knee-drive;Kettlebell Front Rack Step Up Knee Drive;Вперёд на стойке подъём на платформу с подъёмом колена с гирей
kettlebell-front-raise;Kettlebell Front Raise;Подъём рук перед собой с гирей
kettlebell-full-swing;Kettlebell Full Swing;Полный мах с гирей
kettlebell-glute-bridge;Kettlebell Glute Bridge;Ягодичный мост с гирей
kettlebell-goblet-calf-raise;Kettlebell Goblet Calf Raise;Гоблет подъём на носки с гирей
kettlebell-goblet-curl;Kettlebell Goblet Curl;Гоблет сгибание рук с гирей
kettlebell-goblet-good-morning;Kettlebell Goblet Good Morning;Гоблет наклон «доброе утро» с гирей
kettlebell-goblet-squat;Kettlebell Goblet Squat;Гоблет-приседание с гирей
kettlebell-gorilla-row;Kettlebell Gorilla Row;Тяга «горилла» с гирей
kettlebell-guillotine-bench-press;Kettlebell Guillotine Bench Press;Жим «гильотина» лёжа с гирей
kettlebell-half-kneeling-goblet-romanian-deadlift;Kettlebell Half Kneeling Goblet Romanian Deadlift;На одном колене гоблет румынская становая тяга с гирей
kettlebell-half-kneeling-romanian-deadlift;Kettlebell Half Kneeling Romanian Deadlift;На одном колене румынская становая тяга с гирей
kettlebell-hang-clean-and-jerk;Kettlebell Hang Clean And Jerk;Взятие на грудь с виса и толчок с гирей
kettlebell-hang-clean-and-press;Kettlebell Hang Clean And Press;Взятие на грудь с виса и жим с гирей
kettlebell-hang-squat-clean-and-jerk;Kettlebell Hang Squat Clean And Jerk;Взятие гири в сед с виса и толчок
kettlebell-heels-up-goblet-squat;Kettlebell Heels Up Goblet Squat;Пяток вверх гоблет-приседание с гирей
kettlebell-high-incline-bench-press;Kettlebell High Incline Bench Press;Верхний жим лёжа на наклонной скамье с гирей
kettlebell-hip-thrust;Kettlebell Hip Thrust;Ягодичный мост с опорой плечами с гирей
kettlebell-hollow-hold;Kettlebell Hollow Hold;Удержание «банан» с гирей
kettlebell-incline-bench-press;Kettlebell Incline Bench Press;Жим лёжа на наклонной скамье с гирей
kettlebell-incline-guillotine-bench-press;Kettlebell Incline Guillotine Bench Press;На наклонной скамье жим «гильотина» лёжа с гирей
kettlebell-incline-shrug;Kettlebell Incline Shrug;На наклонной скамье шраги с гирей
kettlebell-kickstand-squat;Kettlebell Kickstand Squat;С опорой одной ногой приседание с гирей
kettlebell-kneeling-bottoms-up-overhead-press;Kettlebell Kneeling Bottoms Up Overhead Press;На коленях дном вверх жим над головой с гирей
kettlebell-larsen-press;Kettlebell Larsen Press;Ларсена жим с гирей
kettlebell-lateral-lunge;Kettlebell Lateral Lunge;Боковой выпад с гирей
kettlebell-lateral-lunge-single;Kettlebell Lateral Lunge (Single);Боковой выпад одной с гирей
kettlebell-long-lever-lateral-raise;Kettlebell Long Lever Lateral Raise;Длинный рычаг подъём рук в стороны с гирей
kettlebell-overhead-tricep-extension;Kettlebell Overhead Tricep Extension;Разгибание рук на трицепс над головой с гирей
kettlebell-pec-fly;Kettlebell Pec Fly;Разведение рук на грудь с гирей
kettlebell-preacher-curl;Kettlebell Preacher Curl;Сгибание рук на скамье Скотта с гирей
kettlebell-pullover;Kettlebell Pullover;Пуловер с гирей
kettlebell-push-press;Kettlebell Push Press;Толчковый жим с гирей
kettlebell-quad-stomp;Kettlebell Quad Stomp;Топание квадрицепсом с гирей
kettlebell-rear-delt-row;Kettlebell Rear Delt Row;Тяга на заднюю дельту с гирей
kettlebell-rear-delt-row-double;Kettlebell Rear Delt Row (Double);Тяга на заднюю дельту двойной с гирями
kettlebell-reverse-curl;Kettlebell Reverse Curl;Обратное сгибание рук с гирей
